               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090745,            0.046775,            0.018341,           0.0045743,             0.66729,           0.0064123,           0.0017381,            0.071058,            0.033893,            0.010205,            0.070134,           0.0033185,           0.0033185
                   1,            0.082411,            0.048508,           0.0071691,            0.098454,             0.13983,            0.033003,           0.0072253,            0.069447,            0.031293,           0.0035394,            0.039946,           0.0064636,           0.0064636
                   2,            0.076221,            0.045476,           0.0023975,            0.027711,             0.18976,            0.013315,           0.0033711,            0.073438,            0.036249,           0.0014318,           0.0095691,           0.0094202,           0.0094202
                   3,            0.066897,            0.042662,          0.00084369,             0.16129,            0.083021,             0.06659,            0.017603,            0.067673,            0.027377,          0.00085687,           0.0091514,           0.0091514,           0.0091514
                   4,            0.056125,            0.037292,          0.00057041,             0.60163,             0.53184,             0.59434,             0.27015,            0.042886,            0.022748,          0.00056468,           0.0091514,           0.0091514,           0.0091514
                   5,             0.05063,            0.035526,          0.00048663,             0.60141,             0.58111,             0.59758,             0.30393,              0.0416,            0.022753,          0.00055971,           0.0088686,           0.0088686,           0.0088686
                   6,            0.046992,             0.03339,           0.0004393,             0.86375,             0.60546,             0.69692,             0.39399,            0.040955,            0.021009,            0.000461,           0.0085857,           0.0085857,           0.0085857
                   7,             0.04407,            0.030918,          0.00038195,             0.81888,             0.64419,             0.75706,             0.44276,            0.035729,             0.01984,          0.00040372,           0.0083029,           0.0083029,           0.0083029
                   8,            0.042107,            0.030748,          0.00033807,              0.7407,             0.41546,             0.47663,             0.22374,            0.047321,            0.024879,          0.00038688,             0.00802,             0.00802,             0.00802
                   9,            0.041233,            0.030083,          0.00032184,             0.83262,             0.67915,             0.77466,             0.49124,            0.033171,            0.018805,          0.00032158,           0.0077371,           0.0077371,           0.0077371
                  10,            0.040632,            0.029503,          0.00030457,             0.81778,             0.67232,             0.79085,             0.48121,            0.033103,            0.018676,          0.00029447,           0.0074543,           0.0074543,           0.0074543
                  11,            0.038603,            0.028533,          0.00028545,             0.90921,             0.78839,             0.87475,             0.56942,            0.030772,            0.015916,          0.00026984,           0.0071714,           0.0071714,           0.0071714
                  12,            0.038349,            0.028067,          0.00024802,             0.91885,             0.80087,             0.88106,             0.58448,            0.029325,            0.015596,           0.0002145,           0.0068886,           0.0068886,           0.0068886
                  13,            0.036687,            0.027436,          0.00022967,             0.92278,             0.78328,             0.87338,             0.56499,            0.029581,            0.016571,          0.00022144,           0.0066057,           0.0066057,           0.0066057
                  14,            0.036232,            0.027653,          0.00020706,             0.89546,             0.82343,             0.89563,             0.62037,            0.027803,            0.014736,          0.00019092,           0.0063229,           0.0063229,           0.0063229
                  15,            0.035478,            0.026439,          0.00019169,             0.90356,             0.83084,             0.90204,             0.61421,            0.027002,            0.014645,          0.00016351,             0.00604,             0.00604,             0.00604
                  16,            0.035596,            0.026599,          0.00018569,             0.89942,             0.84285,             0.91111,             0.62038,            0.026713,            0.014804,            0.000159,           0.0057571,           0.0057571,           0.0057571
                  17,            0.034283,            0.026484,          0.00017568,             0.92357,             0.81462,             0.89502,             0.63024,            0.026777,            0.014656,           0.0001476,           0.0054743,           0.0054743,           0.0054743
                  18,            0.034305,             0.02619,           0.0001564,             0.91266,             0.81531,             0.89546,             0.63373,            0.026402,            0.014419,          0.00013459,           0.0051914,           0.0051914,           0.0051914
                  19,            0.034221,            0.026406,          0.00014515,             0.90048,             0.82772,             0.90333,             0.63574,            0.027451,             0.01442,          0.00012654,           0.0049086,           0.0049086,           0.0049086
                  20,            0.033328,            0.026226,          0.00013781,             0.90688,               0.799,             0.88222,             0.61777,            0.027197,            0.015287,          0.00013508,           0.0046257,           0.0046257,           0.0046257
                  21,            0.032833,            0.025844,          0.00011801,             0.90959,             0.82271,             0.89315,             0.62976,            0.026338,            0.014393,           0.0001002,           0.0043429,           0.0043429,           0.0043429
                  22,            0.032185,            0.024863,           0.0001188,             0.89795,             0.82935,              0.8972,             0.62531,            0.027181,             0.01497,          0.00010934,             0.00406,             0.00406,             0.00406
                  23,            0.032498,            0.024772,          0.00011047,              0.8864,             0.84582,             0.90916,             0.65251,            0.025757,            0.013896,          9.5329e-05,           0.0037771,           0.0037771,           0.0037771
                  24,            0.031318,             0.02473,          0.00010557,             0.92477,             0.82896,             0.90356,             0.63697,            0.026621,            0.014132,          9.0985e-05,           0.0034943,           0.0034943,           0.0034943
                  25,              0.0311,             0.02448,          9.7213e-05,             0.91884,              0.8583,             0.92031,              0.6615,            0.025838,            0.013411,          7.1952e-05,           0.0032114,           0.0032114,           0.0032114
                  26,            0.030996,            0.024707,          9.5048e-05,             0.92039,             0.83709,             0.91107,             0.65146,            0.025808,            0.014025,          7.1977e-05,           0.0029286,           0.0029286,           0.0029286
                  27,            0.030626,            0.024133,          8.1635e-05,             0.91575,             0.82776,             0.91307,             0.66177,            0.025639,            0.013581,          5.9852e-05,           0.0026457,           0.0026457,           0.0026457
                  28,            0.030326,             0.02391,          7.6647e-05,             0.90508,             0.78901,             0.87908,             0.62269,            0.027198,            0.015147,          6.1632e-05,           0.0023629,           0.0023629,           0.0023629
                  29,            0.030194,            0.023869,          7.2803e-05,               0.908,             0.86517,             0.92374,             0.67173,            0.024331,            0.012973,          5.0133e-05,             0.00208,             0.00208,             0.00208
                  30,             0.02948,            0.023772,          6.7291e-05,             0.92758,             0.85019,             0.92061,             0.67846,            0.024306,            0.013115,          4.3573e-05,           0.0017971,           0.0017971,           0.0017971
                  31,            0.029464,            0.023912,          6.5866e-05,             0.93554,             0.84395,             0.92386,             0.67395,            0.024772,            0.013017,          4.3074e-05,           0.0015143,           0.0015143,           0.0015143
                  32,            0.029168,            0.022982,          6.3665e-05,             0.93057,              0.8618,              0.9313,             0.68318,            0.024103,            0.012718,          3.9135e-05,           0.0012314,           0.0012314,           0.0012314
                  33,            0.029453,            0.023568,          6.1397e-05,              0.9335,             0.84519,             0.92522,             0.68103,            0.024558,            0.012954,          4.2576e-05,          0.00094857,          0.00094857,          0.00094857
                  34,            0.028734,             0.02271,            5.78e-05,             0.92694,             0.85144,             0.92694,             0.67829,            0.024396,             0.01285,          4.0906e-05,          0.00066571,          0.00066571,          0.00066571
